algorithm,instance_seed,solver_seed,time_budget,schedule_found,day,shift,doctors
Greedy,0,10000,1.0,True,29,day,2D002;3D004;1D002;1D007
Greedy,0,10000,1.0,True,29,night,2D001;1D001;1D005;1D006
Greedy,0,10000,1.0,True,30,morning,2D002;3D002;3D003;3D004
Greedy,0,10000,1.0,True,30,day,2D006;1D008;1D009;1D010
Greedy,0,10000,1.0,True,30,night,2D005;2D004;1D001;1D002
CP-SAT,0,10000,1.0,True,1,morning,1D001;1D010;2D001;3D001
CP-SAT,0,10000,1.0,True,1,day,1D008;2D002;2D003;2D006
CP-SAT,0,10000,1.0,True,1,night,1D003;1D004;1D009;2D004
CP-SAT,0,10000,1.0,True,2,morning,1D002;1D005;1D008;3D004
CP-SAT,0,10000,1.0,True,2,day,1D004;2D002;2D003;2D004
CP-SAT,0,10000,1.0,True,2,night,1D006;2D006;3D002;3D003
CP-SAT,0,10000,1.0,True,3,morning,1D001;1D008;1D010;3D001
CP-SAT,0,10000,1.0,True,3,day,1D004;2D001;2D005;2D006
CP-SAT,0,10000,1.0,True,3,night,1D006;2D004;3D003;3D004
CP-SAT,0,10000,1.0,True,4,morning,1D002;1D004;1D007;2D003
CP-SAT,0,10000,1.0,True,4,day,1D008;2D001;2D006;3D004
CP-SAT,0,10000,1.0,True,4,night,1D001;1D010;2D002;2D005
CP-SAT,0,10000,1.0,True,5,morning,1D003;1D005;1D009;2D004
CP-SAT,0,10000,1.0,True,5,day,2D003;3D001;3D003;3D004
CP-SAT,0,10000,1.0,True,5,night,1D001;1D002;2D001;3D002
CP-SAT,0,10000,1.0,True,6,morning,1D003;1D006;2D005;3D003
CP-SAT,0,10000,1.0,True,6,day,2D002;2D003;2D004;2D006
CP-SAT,0,10000,1.0,True,6,night,1D005;1D008;1D010;3D002
CP-SAT,0,10000,1.0,True,7,morning,1D002;1D007;1D009;3D003
CP-SAT,0,10000,1.0,True,7,day,1D004;1D005;2D002;3D004
CP-SAT,0,10000,1.0,True,7,night,1D001;1D006;1D008;2D006
CP-SAT,0,10000,1.0,True,8,morning,1D004;1D009;1D010;3D001
CP-SAT,0,10000,1.0,True,8,day,1D008;2D001;2D003;3D003
CP-SAT,0,10000,1.0,True,8,night,1D007;2D005;2D006;3D002
CP-SAT,0,10000,1.0,True,9,morning,1D001;1D004;1D008;3D004
CP-SAT,0,10000,1.0,True,9,day,1D003;1D007;1D010;2D001
CP-SAT,0,10000,1.0,True,9,night,1D002;1D005;2D002;2D004
CP-SAT,0,10000,1.0,True,10,morning,1D003;1D006;1D009;3D001
CP-SAT,0,10000,1.0,True,10,day,1D005;1D007;1D010;3D002
CP-SAT,0,10000,1.0,True,10,night,2D001;2D003;2D004;2D006
CP-SAT,0,10000,1.0,True,11,morning,1D008;2D005;3D001;3D002
CP-SAT,0,10000,1.0,True,11,day,1D002;1D003;1D009;3D004
CP-SAT,0,10000,1.0,True,11,night,1D005;1D006;1D007;2D003
CP-SAT,0,10000,1.0,True,12,morning,1D002;2D001;2D004;2D006
CP-SAT,0,10000,1.0,True,12,day,1D006;2D002;3D001;3D002
CP-SAT,0,10000,1.0,True,12,night,1D004;1D009;1D010;3D004
CP-SAT,0,10000,1.0,True,13,morning,1D003;2D002;2D005;3D003
CP-SAT,0,10000,1.0,True,13,day,1D007;1D008;1D009;3D004
CP-SAT,0,10000,1.0,True,13,night,1D004;1D005;1D006;2D001
CP-SAT,0,10000,1.0,True,14,morning,1D001;1D007;1D010;3D004
CP-SAT,0,10000,1.0,True,14,day,1D005;1D009;2D001;3D002
